subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,núcleo_ASAJE,1,remoto_no,388,Cz,0.5,0.8,0.1174411746816567,0,rem
001,núcleo_ASAJE,1,remoto_no,388,Pz,0.3,0.5,4.45027605530161,0,rem
001,núcleo_ASAJE,1,remoto_no,388,Pz,0.5,0.8,0.9188887708205805,0,rem
001,biología_VIDA,6,español_si,320,Cz,0.3,0.5,-4.241428019192355,1,esp
001,biología_VIDA,6,español_si,320,Cz,0.5,0.8,-4.192118194421777,1,esp
001,biología_VIDA,6,español_si,320,Pz,0.3,0.5,-5.059950409743648,1,esp
001,biología_VIDA,6,español_si,320,Pz,0.5,0.8,-22.441342249882183,1,esp
001,correr_HO'U,1,remoto_no,324,Cz,0.3,0.5,2.43556687508065,0,rem
001,correr_HO'U,1,remoto_no,324,Cz,0.5,0.8,3.579615995702653,0,rem
001,correr_HO'U,1,remoto_no,324,Pz,0.3,0.5,2.9027998964660435,0,rem
001,correr_HO'U,1,remoto_no,324,Pz,0.5,0.8,0.8369200129612437,0,rem
001,zanahoria_AMO,1,remoto_no,580,Cz,0.3,0.5,2.0623239539563656,0,rem
001,zanahoria_AMO,1,remoto_no,580,Cz,0.5,0.8,4.821688232347671,0,rem
001,zanahoria_AMO,1,remoto_no,580,Pz,0.3,0.5,-2.10561171768663,0,rem
001,zanahoria_AMO,1,remoto_no,580,Pz,0.5,0.8,2.644721377456206,0,rem
001,mascota_CACHORRO,6,español_si,354,Cz,0.3,0.5,2.659552038289034,1,esp
001,mascota_CACHORRO,6,español_si,354,Cz,0.5,0.8,-1.4421847595301591,1,esp
001,mascota_CACHORRO,6,español_si,354,Pz,0.3,0.5,1.1801719211328487,1,esp
001,mascota_CACHORRO,6,español_si,354,Pz,0.5,0.8,-0.6552189998253276,1,esp
001,familia_TÍO,6,español_si,328,Cz,0.3,0.5,1.1635550491225262,1,esp
001,familia_TÍO,6,español_si,328,Cz,0.5,0.8,-1.4752206493636617,1,esp
001,familia_TÍO,6,español_si,328,Pz,0.3,0.5,-0.2079085082961962,1,esp
001,familia_TÍO,6,español_si,328,Pz,0.5,0.8,-4.66562267114608,1,esp
001,gallina_RUPI'A,5,reciente_si,388,Cz,0.3,0.5,-1.1048794002630387,1,rec
001,gallina_RUPI'A,5,reciente_si,388,Cz,0.5,0.8,0.4880554930755666,1,rec
001,gallina_RUPI'A,5,reciente_si,388,Pz,0.3,0.5,-3.7822033243540387,1,rec
001,gallina_RUPI'A,5,reciente_si,388,Pz,0.5,0.8,-1.0271203392279533,1,rec
001,caminar_OÑANI,5,reciente_si,324,Cz,0.3,0.5,0.9107426418206441,1,rec
001,caminar_OÑANI,5,reciente_si,324,Cz,0.5,0.8,0.9397496613447632,1,rec
001,caminar_OÑANI,5,reciente_si,324,Pz,0.3,0.5,1.3000742662877134,1,rec
001,caminar_OÑANI,5,reciente_si,324,Pz,0.5,0.8,-1.8844102164589043,1,rec
001,banana_MBARAKAJA,2,reciente_no,388,Cz,0.3,0.5,4.7206373925392455,0,rec
001,banana_MBARAKAJA,2,reciente_no,388,Cz,0.5,0.8,-0.09595407875064345,0,rec
001,banana_MBARAKAJA,2,reciente_no,388,Pz,0.3,0.5,2.904451534796794,0,rec
001,banana_MBARAKAJA,2,reciente_no,388,Pz,0.5,0.8,-1.3062752999576481,0,rec
001,yerba_ÁGUILA,3,español_no,546,Cz,0.3,0.5,3.0749932574914194,0,esp
001,yerba_ÁGUILA,3,español_no,546,Cz,0.5,0.8,4.263477483473959,0,esp
001,yerba_ÁGUILA,3,español_no,546,Pz,0.3,0.5,1.8547056206287098,0,esp
001,yerba_ÁGUILA,3,español_no,546,Pz,0.5,0.8,4.821518888961908,0,esp
001,barba_RÍO,3,español_no,379,Cz,0.3,0.5,-1.416677663460947,0,esp
001,barba_RÍO,3,español_no,379,Cz,0.5,0.8,0.741024640011733,0,esp
001,barba_RÍO,3,español_no,379,Pz,0.3,0.5,-2.6120875599579167,0,esp
001,barba_RÍO,3,español_no,379,Pz,0.5,0.8,-2.915539599110483,0,esp
001,noche_Y,1,remoto_no,537,Cz,0.3,0.5,0.7899036742030426,0,rem
001,noche_Y,1,remoto_no,537,Cz,0.5,0.8,1.5607154815220212,0,rem
001,noche_Y,1,remoto_no,537,Pz,0.3,0.5,0.9397757827805788,0,rem
001,noche_Y,1,remoto_no,537,Pz,0.5,0.8,1.1228319237052053,0,rem
001,firma_ANGUJA,2,reciente_no,524,Cz,0.3,0.5,-0.45312851346814303,0,rec
001,firma_ANGUJA,2,reciente_no,524,Cz,0.5,0.8,-3.644338802701268,0,rec
001,firma_ANGUJA,2,reciente_no,524,Pz,0.3,0.5,1.3181061184687468,0,rec
001,firma_ANGUJA,2,reciente_no,524,Pz,0.5,0.8,-3.691122386034019,0,rec
001,vida_CUERPO,6,español_si,256,Cz,0.3,0.5,0.4481778604050097,1,esp
001,vida_CUERPO,6,español_si,256,Cz,0.5,0.8,1.5954100287930384,1,esp
001,vida_CUERPO,6,español_si,256,Pz,0.3,0.5,-1.771520784841134,1,esp
001,vida_CUERPO,6,español_si,256,Pz,0.5,0.8,-0.8567731557074588,1,esp
001,tablero_MYMBA,2,reciente_no,315,Cz,0.3,0.5,-4.904804223754373,0,rec
001,tablero_MYMBA,2,reciente_no,315,Cz,0.5,0.8,-3.2841477530465473,0,rec
001,tablero_MYMBA,2,reciente_no,315,Pz,0.3,0.5,-0.28408468500352824,0,rec
001,tablero_MYMBA,2,reciente_no,315,Pz,0.5,0.8,-1.5764296725392342,0,rec
001,cuchara_NDE,1,remoto_no,392,Cz,0.3,0.5,-1.8781240092447171,0,rem
001,cuchara_NDE,1,remoto_no,392,Cz,0.5,0.8,-0.8169564642012119,0,rem
001,cuchara_NDE,1,remoto_no,392,Pz,0.3,0.5,-5.716704405987492,0,rem
001,cuchara_NDE,1,remoto_no,392,Pz,0.5,0.8,-2.657928743056561,0,rem
001,espalda_SELVA,3,español_no,349,Cz,0.3,0.5,-0.18791268260862973,0,esp
001,espalda_SELVA,3,español_no,349,Cz,0.5,0.8,-3.4554593917887337,0,esp
001,espalda_SELVA,3,español_no,349,Pz,0.3,0.5,3.494344366212877,0,esp
001,espalda_SELVA,3,español_no,349,Pz,0.5,0.8,1.7849876382670966,0,esp
001,pájaro_OVEVE,5,reciente_si,332,Cz,0.3,0.5,-1.5412316766854088,1,rec
001,pájaro_OVEVE,5,reciente_si,332,Cz,0.5,0.8,-0.9690613478369376,1,rec
001,pájaro_OVEVE,5,reciente_si,332,Pz,0.3,0.5,-0.6469110180265628,1,rec
001,pájaro_OVEVE,5,reciente_si,332,Pz,0.5,0.8,-1.1537315652796227,1,rec
001,nave_VAKAME,2,reciente_no,341,Cz,0.3,0.5,2.1444235893252954,0,rec
001,nave_VAKAME,2,reciente_no,341,Cz,0.5,0.8,0.2742823682129686,0,rec
001,nave_VAKAME,2,reciente_no,341,Pz,0.3,0.5,-0.4676918286668996,0,rec
001,nave_VAKAME,2,reciente_no,341,Pz,0.5,0.8,-0.5979402924054548,0,rec
